roi_id,roi_name,hemi,network,ipsi_contra
363,7Networks_LH_Default_PFC_31,LH,Default,ipsi
364,7Networks_LH_Default_PFC_32,LH,Default,ipsi
365,7Networks_LH_Default_PFC_33,LH,Default,ipsi
366,7Networks_LH_Default_PFC_34,LH,Default,ipsi
367,7Networks_LH_Default_PFC_35,LH,Default,ipsi
368,7Networks_LH_Default_PFC_36,LH,Default,ipsi
369,7Networks_LH_Default_PFC_37,LH,Default,ipsi
370,7Networks_LH_Default_PFC_38,LH,Default,ipsi
371,7Networks_LH_Default_PFC_39,LH,Default,ipsi
372,7Networks_LH_Default_PFC_40,LH,Default,ipsi
373,7Networks_LH_Default_pCunPCC_1,LH,Default,ipsi
374,7Networks_LH_Default_pCunPCC_2,LH,Default,ipsi
375,7Networks_LH_Default_pCunPCC_3,LH,Default,ipsi
376,7Networks_LH_Default_pCunPCC_4,LH,Default,ipsi
377,7Networks_LH_Default_pCunPCC_5,LH,Default,ipsi
378,7Networks_LH_Default_pCunPCC_6,LH,Default,ipsi
379,7Networks_LH_Default_pCunPCC_7,LH,Default,ipsi
380,7Networks_LH_Default_pCunPCC_8,LH,Default,ipsi
381,7Networks_LH_Default_pCunPCC_9,LH,Default,ipsi
382,7Networks_LH_Default_pCunPCC_10,LH,Default,ipsi
383,7Networks_LH_Default_pCunPCC_11,LH,Default,ipsi
384,7Networks_LH_Default_pCunPCC_12,LH,Default,ipsi
385,7Networks_LH_Default_pCunPCC_13,LH,Default,ipsi
386,7Networks_LH_Default_pCunPCC_14,LH,Default,ipsi
387,7Networks_LH_Default_pCunPCC_15,LH,Default,ipsi
388,7Networks_LH_Default_pCunPCC_16,LH,Default,ipsi
389,7Networks_LH_Default_pCunPCC_17,LH,Default,ipsi
390,7Networks_LH_Default_pCunPCC_18,LH,Default,ipsi
391,7Networks_LH_Default_pCunPCC_19,LH,Default,ipsi
392,7Networks_LH_Default_pCunPCC_20,LH,Default,ipsi
393,7Networks_LH_Default_pCunPCC_21,LH,Default,ipsi
394,7Networks_LH_Default_pCunPCC_22,LH,Default,ipsi
395,7Networks_LH_Default_pCunPCC_23,LH,Default,ipsi
396,7Networks_LH_Default_pCunPCC_24,LH,Default,ipsi
397,7Networks_LH_Default_pCunPCC_25,LH,Default,ipsi
398,7Networks_LH_Default_pCunPCC_26,LH,Default,ipsi
399,7Networks_LH_Default_pCunPCC_27,LH,Default,ipsi
400,7Networks_LH_Default_PHC_1,LH,Default,ipsi
401,7Networks_RH_Vis_1,RH,Vis,contra
402,7Networks_RH_Vis_2,RH,Vis,contra
403,7Networks_RH_Vis_3,RH,Vis,contra
404,7Networks_RH_Vis_4,RH,Vis,contra
405,7Networks_RH_Vis_5,RH,Vis,contra
406,7Networks_RH_Vis_6,RH,Vis,contra
407,7Networks_RH_Vis_7,RH,Vis,contra
408,7Networks_RH_Vis_8,RH,Vis,contra
409,7Networks_RH_Vis_9,RH,Vis,contra
410,7Networks_RH_Vis_10,RH,Vis,contra
411,7Networks_RH_Vis_11,RH,Vis,contra
412,7Networks_RH_Vis_12,RH,Vis,contra
413,7Networks_RH_Vis_13,RH,Vis,contra
414,7Networks_RH_Vis_14,RH,Vis,contra
415,7Networks_RH_Vis_15,RH,Vis,contra
416,7Networks_RH_Vis_16,RH,Vis,contra
417,7Networks_RH_Vis_17,RH,Vis,contra
418,7Networks_RH_Vis_18,RH,Vis,contra
419,7Networks_RH_Vis_19,RH,Vis,contra
