roi_id,roi_name,mni_x,mni_y,mni_z,hemi,network
167,7Networks_LH_DorsAttn_Post_25,47.449275,27.963768,63.166667,LH,DorsAttn
168,7Networks_LH_DorsAttn_Post_26,63.711864,42.423729,63.550847,LH,DorsAttn
169,7Networks_LH_DorsAttn_Post_27,55.026738,28.208556,64.871658,LH,DorsAttn
170,7Networks_LH_DorsAttn_Post_28,63.818966,36.465517,65.508621,LH,DorsAttn
171,7Networks_LH_DorsAttn_Post_29,47.44898,32.632653,63.132653,LH,DorsAttn
172,7Networks_LH_DorsAttn_Post_30,59.613861,32.683168,67.366337,LH,DorsAttn
173,7Networks_LH_DorsAttn_Post_31,51.142857,28.557143,67.385714,LH,DorsAttn
174,7Networks_LH_DorsAttn_Post_32,50.1,31.672727,65.745455,LH,DorsAttn
175,7Networks_LH_DorsAttn_Post_33,55.526882,32.473118,67.408602,LH,DorsAttn
176,7Networks_LH_DorsAttn_Post_34,60.769231,37.051282,69.897436,LH,DorsAttn
177,7Networks_LH_DorsAttn_Post_35,47.916129,35.212903,68.806452,LH,DorsAttn
178,7Networks_LH_DorsAttn_Post_36,52.484127,33.246032,68.84127,LH,DorsAttn
179,7Networks_LH_DorsAttn_Post_37,56.012903,36.432258,70.283871,LH,DorsAttn
180,7Networks_LH_DorsAttn_Post_38,51.934959,37.569106,71.910569,LH,DorsAttn
181,7Networks_LH_DorsAttn_FEF_1,66.289941,61.384615,61.349112,LH,DorsAttn
182,7Networks_LH_DorsAttn_FEF_2,62.698795,62.885542,62.46988,LH,DorsAttn
183,7Networks_LH_DorsAttn_FEF_3,56.515789,66.705263,62.105263,LH,DorsAttn
184,7Networks_LH_DorsAttn_FEF_4,61.177778,59.055556,63.016667,LH,DorsAttn
185,7Networks_LH_DorsAttn_FEF_5,57.165775,60.700535,62.700535,LH,DorsAttn
186,7Networks_LH_DorsAttn_FEF_6,56.22,64.873333,67.803333,LH,DorsAttn
187,7Networks_LH_DorsAttn_FEF_7,55.760274,57.479452,66.027397,LH,DorsAttn
