roi_id,node_energy,group
174,0.0850205157047561,target
175,0.05721928491911953,target
176,0.0007989969541737467,bystander
177,0.0033259648528191216,bystander
178,0.0033529259465862166,bystander
179,0.0016519608772764143,bystander
180,0.0003696390142695524,bystander
181,2.7880587802620784e-05,bystander
182,0.00023791021430047464,bystander
183,2.1648442372493834e-08,bystander
184,0.0004598960165987963,bystander
185,0.0003025180274579491,bystander
186,0.002923063638547368,bystander
187,0.000477721739104049,bystander
188,0.0004546651055067923,bystander
189,0.00031919308474671475,bystander
190,0.0002897821730831455,bystander
191,1.2453226365059969e-06,bystander
192,0.00018199678505259687,bystander
193,0.0008797370471044924,bystander
194,0.0005194576611127935,bystander
195,0.00024290980048271186,bystander
196,0.0003306605497307774,bystander
197,1.4578437472927325e-07,bystander
198,0.0009160906799345603,bystander
