type,nearest_roi_B0,dist_B0,nearest_roi_MNI,dist_MNI
bipolar,736,63.92058785614622,555,59.26900521455337
bipolar,736,63.857097665602595,555,59.47416923674306
bipolar,736,64.04022568291204,555,59.952776249634624
bipolar,736,64.26978647589632,555,60.530043059143395
bipolar,551,67.63533317486717,424,60.7295797656385
bipolar,551,67.70616423892503,424,60.85043140619505
bipolar,551,68.04203496654321,433,61.18414526043492
bipolar,551,68.50180960399724,433,61.574171393125546
bipolar,551,69.11767757709521,433,62.12475291701369
bipolar,551,69.95576905226822,433,62.937849345604434
bipolar,551,71.0308263037837,433,64.00793100468098
bipolar,551,72.19716077559623,555,64.86820930586688
bipolar,735,73.22861037919463,555,65.63351996930953
bipolar,551,60.08909891896607,551,51.280709481043395
bipolar,551,58.24238595192756,551,49.31772307148997
bipolar,551,56.3506312874957,551,47.37003478788225
bipolar,551,54.85897044609285,551,45.82768231716692
bipolar,600,53.372309074182674,551,44.57779088074211
bipolar,602,51.95152432279109,551,43.639411433028904
bipolar,602,50.660957254256004,551,42.93920508240894
bipolar,602,49.52416279456477,551,42.453714492423096
bipolar,602,48.647592787306074,735,41.324329027260845
bipolar,555,50.95618010718852,428,47.190433625353975
bipolar,555,50.55415627842319,438,47.04404765270286
bipolar,555,50.23179853837841,438,46.81246488687365
bipolar,555,50.149898962084016,438,46.84835582245954
bipolar,669,50.31663422562931,555,47.08487376207729
bipolar,669,50.31032558643176,555,46.957914795705655
bipolar,736,50.49755751877815,555,47.074765858119285
bipolar,736,50.758579018431035,555,47.51077695978832
bipolar,736,51.24890756180376,555,48.16779577205867
bipolar,555,59.04405820426163,438,55.951945735066055
bipolar,555,59.8041599401767,438,56.8103163922432
bipolar,669,60.49301791762228,438,57.62232167606385
bipolar,669,61.172775472335495,438,58.797298102555516
bipolar,669,61.87893816805336,438,59.99291906096735
bipolar,669,62.76932894667404,445,61.28130827481253
bipolar,669,63.851532635503524,555,62.415440108131534
